Timestamp,True_Label,AI_Prediction,Confidence
2025-12-27 02:46:21,Normal,Normal,0.3938
2025-12-27 02:46:21,Normal,Normal,0.4066
2025-12-27 02:46:21,Normal,Normal,0.4020
2025-12-27 02:46:21,Normal,Normal,0.4045
2025-12-27 02:46:21,Normal,Normal,0.4066
2025-12-27 02:46:21,Normal,Normal,0.4075
2025-12-27 02:46:23,Normal,Normal,0.3928
2025-12-27 02:46:23,Normal,Normal,0.4068
2025-12-27 02:46:23,Normal,Normal,0.4078
2025-12-27 02:46:23,Normal,Normal,0.4066
2025-12-27 02:46:23,Normal,Normal,0.4066
2025-12-27 02:46:23,Normal,Normal,0.4066
2025-12-27 02:46:23,Normal,Normal,0.3958
2025-12-27 02:46:23,Normal,Normal,0.3953
2025-12-27 02:46:23,Normal,Normal,0.3908
2025-12-27 02:46:24,Normal,Normal,0.4078
2025-12-27 02:46:24,Normal,Normal,0.4079
2025-12-27 02:46:24,Normal,Normal,0.4020
2025-12-27 02:46:24,Normal,Normal,0.4020
2025-12-27 02:46:24,Normal,Normal,0.3966
2025-12-27 02:46:25,Normal,Normal,0.3876
2025-12-27 02:46:25,Normal,Normal,0.3957
2025-12-27 02:46:25,Normal,Normal,0.4020
2025-12-27 02:46:25,Normal,Normal,0.3954
2025-12-27 02:46:25,Normal,Normal,0.4077
2025-12-27 02:46:26,Normal,Normal,0.4071
2025-12-27 02:46:26,Normal,Normal,0.3966
2025-12-27 02:46:26,Normal,Normal,0.3958
2025-12-27 02:46:26,Normal,Normal,0.3958
2025-12-27 02:46:26,Normal,Normal,0.4074
2025-12-27 02:46:27,Normal,Normal,0.3966
2025-12-27 02:46:27,Normal,Normal,0.4078
2025-12-27 02:46:27,Normal,Normal,0.3941
2025-12-27 02:46:27,Normal,Normal,0.3928
2025-12-27 02:46:27,Normal,Normal,0.4041
2025-12-27 02:46:28,Normal,Normal,0.4066
2025-12-27 02:46:28,Normal,Normal,0.3908
2025-12-27 02:46:28,Normal,Normal,0.3958
2025-12-27 02:46:28,Normal,Normal,0.3939
2025-12-27 02:46:28,Normal,Normal,0.4075
2025-12-27 02:46:29,Normal,Normal,0.4078
2025-12-27 02:46:29,Normal,Normal,0.3958
2025-12-27 02:46:29,Normal,Normal,0.3958
2025-12-27 02:46:29,Normal,Normal,0.3885
2025-12-27 02:46:29,Normal,Normal,0.3961
2025-12-27 02:46:30,Normal,Normal,0.3938
2025-12-27 02:46:30,Normal,Normal,0.4075
2025-12-27 02:46:30,Normal,Normal,0.3935
2025-12-27 02:46:30,Normal,Normal,0.3939
2025-12-27 02:46:31,Normal,Normal,0.3958
2025-12-27 02:46:31,Normal,Normal,0.4020
2025-12-27 02:46:31,Normal,Normal,0.4075
2025-12-27 02:46:31,Normal,Normal,0.4020
2025-12-27 02:46:31,Normal,Normal,0.4072
2025-12-27 02:46:31,Normal,Normal,0.3924
2025-12-27 02:46:32,Normal,Normal,0.4020
2025-12-27 02:46:32,Normal,Normal,0.3941
2025-12-27 02:46:32,Normal,Normal,0.3989
2025-12-27 02:46:32,Normal,Normal,0.4066
2025-12-27 02:46:33,Normal,Normal,0.4066
2025-12-27 02:46:33,Normal,Normal,0.4066
2025-12-27 02:46:33,Normal,Normal,0.3954
2025-12-27 02:46:33,Normal,Normal,0.3941
2025-12-27 02:46:34,Normal,Normal,0.4056
2025-12-27 02:46:34,Normal,Normal,0.4079
2025-12-27 02:46:34,Normal,Normal,0.3870
2025-12-27 02:46:34,Normal,Normal,0.3957
2025-12-27 02:46:35,Normal,Normal,0.4020
2025-12-27 02:46:35,Normal,Normal,0.3966
2025-12-27 02:46:35,Normal,Normal,0.4068
2025-12-27 02:46:35,Normal,Normal,0.4086
2025-12-27 02:46:35,Normal,Normal,0.3983
2025-12-27 02:46:36,Normal,Normal,0.3902
2025-12-27 02:46:36,Normal,Normal,0.3977
2025-12-27 02:46:36,Normal,Normal,0.4020
2025-12-27 02:46:36,Normal,Normal,0.3876
2025-12-27 02:46:36,Normal,Normal,0.4045
2025-12-27 02:46:37,Normal,Normal,0.4074
2025-12-27 02:46:37,Normal,Normal,0.4079
2025-12-27 02:46:37,Normal,Normal,0.4020
2025-12-27 02:46:38,Normal,Normal,0.3933
2025-12-27 02:46:38,Normal,Normal,0.3928
2025-12-27 02:46:38,Normal,Normal,0.3978
2025-12-27 02:46:39,Normal,Normal,0.4074
2025-12-27 02:46:39,Normal,Normal,0.4072
2025-12-27 02:46:39,Normal,Normal,0.3942
2025-12-27 02:46:39,Normal,Normal,0.3978
2025-12-27 02:46:39,Normal,Normal,0.4077
2025-12-27 02:46:39,Normal,Normal,0.3928
2025-12-27 02:46:39,Normal,Normal,0.3901
2025-12-27 02:46:39,Normal,Normal,0.4066
2025-12-27 02:46:39,Normal,Normal,0.4068
2025-12-27 02:46:39,Normal,Normal,0.4066
2025-12-27 02:46:40,Normal,Normal,0.3957
2025-12-27 02:46:40,Normal,Normal,0.3902
2025-12-27 02:46:40,Normal,Normal,0.4074
2025-12-27 02:46:40,Normal,Normal,0.4020
2025-12-27 02:46:40,Normal,Normal,0.4071
2025-12-27 02:46:41,Normal,Normal,0.4020
2025-12-27 02:46:41,Normal,Normal,0.4078
2025-12-27 02:46:41,Normal,Normal,0.4041
2025-12-27 02:46:42,Normal,Normal,0.3889
2025-12-27 02:46:42,Normal,Normal,0.4077
2025-12-27 02:46:42,Normal,Normal,0.4071
2025-12-27 02:46:42,Normal,Normal,0.4085
2025-12-27 02:46:42,Normal,Normal,0.4060
2025-12-27 02:46:42,Normal,Normal,0.4074
2025-12-27 02:46:42,Normal,Normal,0.4074
2025-12-27 02:46:43,Normal,Normal,0.3989
2025-12-27 02:46:43,Normal,Normal,0.4066
2025-12-27 02:47:54,Normal,Normal,0.4075
2025-12-27 02:47:54,Normal,Normal,0.3775
2025-12-27 02:47:54,Normal,Normal,0.4066
2025-12-27 02:47:54,Normal,Normal,0.3958
2025-12-27 02:47:54,Normal,Normal,0.4056
2025-12-27 02:47:54,Normal,Normal,0.4079
2025-12-27 02:47:54,Normal,Normal,0.3958
2025-12-27 02:47:54,Normal,Normal,0.4066
2025-12-27 02:47:54,Normal,Normal,0.4066
2025-12-27 02:47:54,Normal,Normal,0.4079
2025-12-27 02:47:54,Normal,Normal,0.4068
2025-12-27 02:47:54,Normal,Normal,0.4077
2025-12-27 02:47:54,Normal,Normal,0.3902
2025-12-27 02:47:55,Normal,Normal,0.3901
2025-12-27 02:47:55,Normal,Normal,0.3954
2025-12-27 02:47:56,Normal,Normal,0.4072
2025-12-27 02:47:56,Normal,Normal,0.4074
2025-12-27 02:47:56,Normal,Normal,0.4045
2025-12-27 02:47:56,Normal,Normal,0.3958
2025-12-27 02:47:56,Normal,Normal,0.3928
2025-12-27 02:47:56,Normal,Normal,0.4072
2025-12-27 02:47:56,Normal,Normal,0.4038
2025-12-27 02:47:56,Normal,Normal,0.4079
2025-12-27 02:47:56,Normal,Normal,0.4068
2025-12-27 02:47:56,Normal,Normal,0.3958
2025-12-27 02:47:56,Normal,Normal,0.4045
2025-12-27 02:47:56,Normal,Normal,0.4020
2025-12-27 02:47:56,Normal,Normal,0.3928
2025-12-27 02:47:56,Normal,Normal,0.3939
2025-12-27 02:47:56,Normal,Normal,0.3957
2025-12-27 02:47:56,Normal,Normal,0.4066
