Timestamp,Type,Source,Message,Severity
2026-01-07 13:17:27,Cyber Attack,Network AI,Detected Smurf (40.1%),High
2026-01-07 13:17:27,Cyber Attack,Network AI,Detected Smurf (40.1%),High
2026-01-07 13:17:27,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.14),High
2026-01-07 13:17:27,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.15),High
2026-01-07 13:17:27,Cyber Attack,Network AI,Detected Smurf (40.1%),High
2026-01-07 13:17:27,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.19),High
2026-01-07 13:17:28,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.19),High
2026-01-07 13:17:28,Cyber Attack,Network AI,Detected Smurf (40.1%),High
2026-01-07 13:17:28,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.21),High
2026-01-07 13:17:28,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.25),High
2026-01-07 13:17:28,Cyber Attack,Network AI,Detected Smurf (40.1%),High
2026-01-07 13:17:28,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.25),High
2026-01-07 13:17:28,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.23),High
2026-01-07 13:17:28,Cyber Attack,Network AI,Detected Smurf (40.1%),High
2026-01-07 13:17:28,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.21),High
2026-01-07 13:17:28,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.20),High
2026-01-07 13:17:28,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.20),High
2026-01-07 13:17:28,Cyber Attack,Network AI,Detected Smurf (40.1%),High
2026-01-07 13:17:28,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.20),High
2026-01-07 13:17:28,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.19),High
2026-01-07 13:17:28,Cyber Attack,Network AI,Detected Smurf (40.1%),High
2026-01-07 13:17:28,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.19),High
2026-01-07 13:17:28,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.18),High
2026-01-07 13:17:28,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.20),High
2026-01-07 13:17:29,Cyber Attack,Network AI,Detected Smurf (40.1%),High
2026-01-07 13:17:29,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.19),High
2026-01-07 13:17:29,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.17),High
2026-01-07 13:17:29,Cyber Attack,Network AI,Detected Smurf (40.1%),High
2026-01-07 13:17:29,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.17),High
2026-01-07 13:17:29,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.18),High
2026-01-07 13:17:29,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.20),High
2026-01-07 13:17:29,Cyber Attack,Network AI,Detected Smurf (40.1%),High
2026-01-07 13:17:29,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.24),High
2026-01-07 13:17:29,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.24),High
2026-01-07 13:17:29,Cyber Attack,Network AI,Detected Smurf (40.1%),High
2026-01-07 13:17:29,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.28),High
2026-01-07 13:17:29,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.29),High
2026-01-07 13:17:29,Cyber Attack,Network AI,Detected Smurf (40.1%),High
2026-01-07 13:17:29,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.29),High
2026-01-07 13:17:29,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.28),High
2026-01-07 13:17:29,Cyber Attack,Network AI,Detected Smurf (40.1%),High
2026-01-07 13:17:29,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.30),High
2026-01-07 13:17:30,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.30),High
2026-01-07 13:17:30,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.28),High
2026-01-07 13:17:30,Cyber Attack,Network AI,Detected Smurf (40.1%),High
2026-01-07 13:17:30,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.29),High
2026-01-07 13:17:30,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.30),High
2026-01-07 13:17:30,Cyber Attack,Network AI,Detected Smurf (40.1%),High
2026-01-07 13:17:30,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.29),High
2026-01-07 13:17:30,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.32),High
2026-01-07 13:17:30,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.31),High
2026-01-07 13:17:30,Cyber Attack,Network AI,Detected Smurf (40.1%),High
2026-01-07 13:17:30,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.27),High
2026-01-07 13:17:31,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.27),High
2026-01-07 13:17:31,Cyber Attack,Network AI,Detected Smurf (40.1%),High
2026-01-07 13:17:31,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.30),High
2026-01-07 13:17:31,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.29),High
2026-01-07 13:17:31,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.26),High
2026-01-07 13:17:31,Cyber Attack,Network AI,Detected Smurf (40.1%),High
2026-01-07 13:17:31,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.28),High
2026-01-07 13:17:31,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.24),High
2026-01-07 13:17:31,Cyber Attack,Network AI,Detected Smurf (40.1%),High
2026-01-07 13:17:31,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.26),High
2026-01-07 13:17:31,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.28),High
2026-01-07 13:17:31,Cyber Attack,Network AI,Detected Smurf (40.1%),High
2026-01-07 13:17:31,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.29),High
2026-01-07 13:17:31,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.26),High
2026-01-07 13:17:31,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.28),High
2026-01-07 13:17:31,Cyber Attack,Network AI,Detected Smurf (40.1%),High
2026-01-07 13:17:31,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.26),High
2026-01-07 13:17:31,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.25),High
2026-01-07 13:17:32,Cyber Attack,Network AI,Detected Smurf (40.1%),High
2026-01-07 13:17:32,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.23),High
2026-01-07 13:17:32,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.23),High
2026-01-07 13:17:32,Cyber Attack,Network AI,Detected Smurf (40.1%),High
2026-01-07 13:17:32,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.22),High
2026-01-07 13:17:32,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.23),High
2026-01-07 13:17:32,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.26),High
2026-01-07 13:17:32,Cyber Attack,Network AI,Detected Smurf (40.1%),High
2026-01-07 13:17:32,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.25),High
2026-01-07 13:17:32,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.25),High
2026-01-07 13:17:32,Cyber Attack,Network AI,Detected Smurf (40.1%),High
2026-01-07 13:17:32,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.26),High
2026-01-07 13:17:32,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.27),High
2026-01-07 13:17:32,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.26),High
2026-01-07 13:17:32,Cyber Attack,Network AI,Detected Smurf (40.1%),High
2026-01-07 13:17:32,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.25),High
2026-01-07 13:17:32,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.26),High
2026-01-07 13:17:33,Cyber Attack,Network AI,Detected Smurf (40.1%),High
2026-01-07 13:17:33,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.27),High
2026-01-07 13:17:33,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.28),High
2026-01-07 13:17:33,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.28),High
2026-01-07 13:17:33,Cyber Attack,Network AI,Detected Smurf (40.1%),High
2026-01-07 13:17:33,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.29),High
2026-01-07 13:17:33,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.29),High
2026-01-07 13:17:33,Cyber Attack,Network AI,Detected Smurf (40.1%),High
2026-01-07 13:17:33,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.31),High
2026-01-07 13:17:33,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.30),High
2026-01-07 13:17:33,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.29),High
2026-01-07 13:17:33,Cyber Attack,Network AI,Detected Smurf (40.1%),High
2026-01-07 13:17:33,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.28),High
2026-01-07 13:17:33,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.33),High
2026-01-07 13:17:33,Cyber Attack,Network AI,Detected Smurf (40.1%),High
2026-01-07 13:17:33,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.33),High
2026-01-07 13:17:33,Physical Anomaly,ECG AI,Spoofing (High Noise) (Loss: 0.34),High
