Timestamp,Type,Source,Message,Severity
2025-12-26 09:43:43,Physical Anomaly,ECG AI,Rate Tampering (Tachycardia) (Loss: 0.06),High
2025-12-26 09:43:43,Physical Anomaly,ECG AI,Rate Tampering (Tachycardia) (Loss: 0.06),High
2025-12-26 09:43:43,Physical Anomaly,ECG AI,Rate Tampering (Tachycardia) (Loss: 0.05),High
2025-12-26 09:43:43,Physical Anomaly,ECG AI,Rate Tampering (Tachycardia) (Loss: 0.05),High
2025-12-26 09:43:43,Physical Anomaly,ECG AI,Rate Tampering (Tachycardia) (Loss: 0.06),High
2025-12-26 09:43:43,Physical Anomaly,ECG AI,Rate Tampering (Tachycardia) (Loss: 0.06),High
2025-12-26 09:43:43,Physical Anomaly,ECG AI,Rate Tampering (Tachycardia) (Loss: 0.06),High
2025-12-26 09:43:43,Physical Anomaly,ECG AI,Rate Tampering (Tachycardia) (Loss: 0.07),High
2025-12-26 09:43:43,Physical Anomaly,ECG AI,Rate Tampering (Tachycardia) (Loss: 0.08),High
2025-12-26 09:43:43,Physical Anomaly,ECG AI,Rate Tampering (Tachycardia) (Loss: 0.07),High
2025-12-26 09:43:45,Physical Anomaly,ECG AI,Rate Tampering (Tachycardia) (Loss: 0.04),High
2025-12-26 09:43:45,Physical Anomaly,ECG AI,Rate Tampering (Tachycardia) (Loss: 0.04),High
2025-12-26 09:43:45,Physical Anomaly,ECG AI,Rate Tampering (Tachycardia) (Loss: 0.04),High
2025-12-26 09:43:46,Physical Anomaly,ECG AI,Rate Tampering (Tachycardia) (Loss: 0.05),High
2025-12-26 09:43:46,Physical Anomaly,ECG AI,Rate Tampering (Tachycardia) (Loss: 0.05),High
2025-12-26 09:43:46,Physical Anomaly,ECG AI,Rate Tampering (Tachycardia) (Loss: 0.05),High
2025-12-26 09:43:46,Physical Anomaly,ECG AI,Rate Tampering (Tachycardia) (Loss: 0.05),High
2025-12-26 09:43:46,Physical Anomaly,ECG AI,Rate Tampering (Tachycardia) (Loss: 0.05),High
2025-12-26 09:43:46,Physical Anomaly,ECG AI,Rate Tampering (Tachycardia) (Loss: 0.05),High
2025-12-26 09:43:46,Physical Anomaly,ECG AI,Rate Tampering (Tachycardia) (Loss: 0.06),High
2025-12-26 09:43:46,Physical Anomaly,ECG AI,Rate Tampering (Tachycardia) (Loss: 0.06),High
2025-12-26 09:43:46,Physical Anomaly,ECG AI,Rate Tampering (Tachycardia) (Loss: 0.06),High
2025-12-26 09:43:46,Physical Anomaly,ECG AI,Rate Tampering (Tachycardia) (Loss: 0.05),High
2025-12-26 09:43:46,Physical Anomaly,ECG AI,Rate Tampering (Tachycardia) (Loss: 0.05),High
2025-12-26 09:43:48,Physical Anomaly,ECG AI,Rate Tampering (Tachycardia) (Loss: 0.10),High
2025-12-26 09:43:48,Physical Anomaly,ECG AI,Rate Tampering (Tachycardia) (Loss: 0.10),High
2025-12-26 09:43:48,Physical Anomaly,ECG AI,Rate Tampering (Tachycardia) (Loss: 0.10),High
2025-12-26 09:43:48,Physical Anomaly,ECG AI,Rate Tampering (Tachycardia) (Loss: 0.09),High
2025-12-26 09:43:48,Physical Anomaly,ECG AI,Rate Tampering (Tachycardia) (Loss: 0.09),High
2025-12-26 09:43:48,Physical Anomaly,ECG AI,Rate Tampering (Tachycardia) (Loss: 0.08),High
2025-12-26 09:43:48,Physical Anomaly,ECG AI,Rate Tampering (Tachycardia) (Loss: 0.09),High
2025-12-26 09:43:48,Physical Anomaly,ECG AI,Rate Tampering (Tachycardia) (Loss: 0.07),High
2025-12-26 09:43:48,Physical Anomaly,ECG AI,Rate Tampering (Tachycardia) (Loss: 0.06),High
2025-12-26 09:43:48,Physical Anomaly,ECG AI,Rate Tampering (Tachycardia) (Loss: 0.06),High
2025-12-26 09:43:49,Physical Anomaly,ECG AI,Rate Tampering (Tachycardia) (Loss: 0.06),High
2025-12-26 09:43:51,Physical Anomaly,ECG AI,Rate Tampering (Tachycardia) (Loss: 0.07),High
2025-12-26 09:43:51,Physical Anomaly,ECG AI,Rate Tampering (Tachycardia) (Loss: 0.07),High
2025-12-26 09:43:51,Physical Anomaly,ECG AI,Rate Tampering (Tachycardia) (Loss: 0.07),High
2025-12-26 09:43:51,Physical Anomaly,ECG AI,Rate Tampering (Tachycardia) (Loss: 0.07),High
2025-12-26 09:43:51,Physical Anomaly,ECG AI,Rate Tampering (Tachycardia) (Loss: 0.08),High
2025-12-26 09:43:51,Physical Anomaly,ECG AI,Rate Tampering (Tachycardia) (Loss: 0.08),High
2025-12-26 09:43:51,Physical Anomaly,ECG AI,Rate Tampering (Tachycardia) (Loss: 0.07),High
2025-12-26 09:43:51,Physical Anomaly,ECG AI,Rate Tampering (Tachycardia) (Loss: 0.07),High
2025-12-26 09:43:51,Physical Anomaly,ECG AI,Rate Tampering (Tachycardia) (Loss: 0.05),High
2025-12-26 09:43:51,Physical Anomaly,ECG AI,Rate Tampering (Tachycardia) (Loss: 0.04),High
2025-12-26 09:43:51,Physical Anomaly,ECG AI,Rate Tampering (Tachycardia) (Loss: 0.04),High
2025-12-26 09:43:51,Physical Anomaly,ECG AI,Rate Tampering (Tachycardia) (Loss: 0.04),High
2025-12-26 09:43:52,Physical Anomaly,ECG AI,Rate Tampering (Tachycardia) (Loss: 0.04),High
2025-12-26 09:43:52,Physical Anomaly,ECG AI,Rate Tampering (Tachycardia) (Loss: 0.04),High
2025-12-26 09:43:52,Physical Anomaly,ECG AI,Rate Tampering (Tachycardia) (Loss: 0.04),High
2025-12-26 09:43:52,Physical Anomaly,ECG AI,Rate Tampering (Tachycardia) (Loss: 0.04),High
2025-12-26 09:43:52,Physical Anomaly,ECG AI,Rate Tampering (Tachycardia) (Loss: 0.03),High
2025-12-26 09:43:52,Physical Anomaly,ECG AI,Rate Tampering (Tachycardia) (Loss: 0.03),High
2025-12-26 09:43:52,Physical Anomaly,ECG AI,Rate Tampering (Tachycardia) (Loss: 0.03),High
2025-12-26 09:43:52,Physical Anomaly,ECG AI,Rate Tampering (Tachycardia) (Loss: 0.03),High
